sample_name	cell_line	exogenous_rna	day
Parental_mastermix1_day1	Parental	mastermix1	1
P1E10_sorted_mastermix1_day1	P1E10	mastermix1	1
Parental_mastermix2_day1	Parental	mastermix2	1
P1E10_sorted_mastermix2_day1	P1E10	mastermix2	1
Parental_mastermix1_day2	Parental	mastermix1	2
P1E10_sorted_mastermix1_day2	P1E10	mastermix1	2
Parental_mastermix2_day2	Parental	mastermix2	2
P1E10_sorted_mastermix2_day2	P1E10	mastermix2	2
P1E10_sorted_PJY103_pegRNA_day1	P1E10	PJY103	1
P1E10_sorted_PJY103_pegRNA_day2	P1E10	PJY103	2
P1E10_sorted_PJY300_epegRNA_day1	P1E10	PJY300	1
P1E10_sorted_PJY300_epegRNA_day2	P1E10	PJY300	2
Parental_PJY103_pegRNA_day1	Parental	PJY103	1
Parental_PJY103_pegRNA_day2	Parental	PJY103	2
Parental_PJY300_epegRNA_day1	Parental	PJY300	1
Parental_PJY300_epegRNA_day2	Parental	PJY300	2
